lado;celdas;tiempo
8;64;0.000300
16;256;0.000339
24;576;0.000336
32;1024;0.001361
40;1600;0.001740
48;2304;0.001403
56;3136;0.001486
64;4096;0.001512
72;5184;0.001955
80;6400;0.001700
88;7744;0.001776
96;9216;0.001874
104;10816;0.001986
112;12544;0.002110
120;14400;0.001987
128;16384;0.001751
136;18496;0.001798
144;20736;0.001669
152;23104;0.001529
160;25600;0.001517
168;28224;0.001505
176;30976;0.001481
184;33856;0.001365
192;36864;0.001444
200;40000;0.001531
208;43264;0.001403
216;46656;0.001421
224;50176;0.001497
232;53824;0.001560
240;57600;0.001423
248;61504;0.001501
256;65536;0.001545
264;69696;0.001619
272;73984;0.001725
280;78400;0.001812
288;82944;0.001931
296;87616;0.002038
304;92416;0.002726
312;97344;0.002217
320;102400;0.002303
328;107584;0.002390
336;112896;0.002522
344;118336;0.002660
352;123904;0.002806
360;129600;0.003833
368;135424;0.003021
376;141376;0.003172
384;147456;0.003301
392;153664;0.003972
400;160000;0.003515
408;166464;0.003701
416;173056;0.003817
424;179776;0.005496
432;186624;0.004099
440;193600;0.004297
448;200704;0.004681
456;207936;0.005262
464;215296;0.004709
472;222784;0.004862
480;230400;0.005036
488;238144;0.003963
496;246016;0.005488
504;254016;0.006105
512;262144;0.005329
520;270400;0.005463
528;278784;0.005728
536;287296;0.006649
544;295936;0.006225
552;304704;0.006708
560;313600;0.006617
568;322624;0.006781
576;331776;0.007568
584;341056;0.008369
592;350464;0.007940
600;360000;0.008378
608;369664;0.008492
616;379456;0.008380
624;389376;0.008096
632;399424;0.008990
640;409600;0.008554
648;419904;0.009048
656;430336;0.008976
664;440896;0.009847
672;451584;0.010124
680;462400;0.008845
688;473344;0.009786
696;484416;0.009312
704;495616;0.009829
712;506944;0.011174
720;518400;0.009952
728;529984;0.010202
736;541696;0.011285
744;553536;0.010555
752;565504;0.010885
760;577600;0.012026
768;589824;0.011317
776;602176;0.012092
784;614656;0.012134
792;627264;0.011772
800;640000;0.012221
808;652864;0.012250
816;665856;0.012504
824;678976;0.012880
832;692224;0.012697
840;705600;0.013613
848;719104;0.013526
856;732736;0.014053
864;746496;0.014002
872;760384;0.014508
880;774400;0.014529
888;788544;0.015093
896;802816;0.015172
904;817216;0.015547
912;831744;0.016724
920;846400;0.016530
928;861184;0.015824
936;876096;0.016962
944;891136;0.016362
952;906304;0.017617
960;921600;0.016957
968;937024;0.018056
976;952576;0.018241
984;968256;0.018252
992;984064;0.018733
1000;1000000;0.018464
1008;1016064;0.019665
1016;1032256;0.019727
