lado;celdas;tiempo
8;64;0.076450
16;256;0.075224
24;576;0.074898
32;1024;0.075022
40;1600;0.074803
48;2304;0.075293
56;3136;0.075716
64;4096;0.073945
72;5184;0.073452
80;6400;0.074928
88;7744;0.074466
96;9216;0.075697
104;10816;0.074969
112;12544;0.074690
120;14400;0.074445
128;16384;0.076891
136;18496;0.075671
144;20736;0.076721
152;23104;0.077080
160;25600;0.076499
168;28224;0.075725
176;30976;0.076942
184;33856;0.078772
192;36864;0.077667
200;40000;0.077764
208;43264;0.079079
216;46656;0.078814
224;50176;0.078830
232;53824;0.078659
240;57600;0.079706
248;61504;0.079862
256;65536;0.080548
264;69696;0.080659
272;73984;0.082146
280;78400;0.084050
288;82944;0.081493
296;87616;0.081875
304;92416;0.082536
312;97344;0.082845
320;102400;0.082785
328;107584;0.084583
336;112896;0.083923
344;118336;0.084096
352;123904;0.083586
360;129600;0.084974
368;135424;0.086077
376;141376;14.361461
384;147456;0.087344
392;153664;0.087318
400;160000;0.087629
408;166464;0.087417
416;173056;0.088523
424;179776;0.103587
432;186624;0.091427
440;193600;0.091813
448;200704;0.091066
456;207936;0.091492
464;215296;0.092319
472;222784;0.092731
480;230400;0.093046
488;238144;0.095928
496;246016;0.094760
504;254016;0.095242
512;262144;0.096173
520;270400;0.095711
528;278784;0.097727
536;287296;0.099069
544;295936;0.099049
552;304704;0.099141
560;313600;0.100468
568;322624;0.099285
576;331776;0.101291
584;341056;0.104991
592;350464;0.101866
600;360000;0.102470
608;369664;0.105642
616;379456;0.104466
624;389376;0.106150
632;399424;0.108122
640;409600;0.107515
648;419904;0.123729
656;430336;0.109375
664;440896;0.109631
672;451584;0.112099
680;462400;0.113481
688;473344;0.112524
696;484416;0.113728
704;495616;0.114386
712;506944;0.117877
720;518400;0.117354
728;529984;0.116550
736;541696;0.118596
744;553536;0.118832
752;565504;226.080778
760;577600;0.121072
768;589824;0.123311
776;602176;0.123502
784;614656;0.123412
792;627264;0.125904
800;640000;0.126391
808;652864;0.131004
816;665856;0.128448
824;678976;0.128811
832;692224;0.134112
840;705600;0.131057
848;719104;0.132235
856;732736;0.134635
864;746496;0.134803
872;760384;0.135858
880;774400;0.138628
888;788544;0.140479
896;802816;0.140140
904;817216;0.143723
912;831744;0.140551
920;846400;0.141693
928;861184;0.142096
936;876096;0.147192
944;891136;0.147227
952;906304;0.148367
960;921600;0.150593
968;937024;0.152835
976;952576;0.152751
984;968256;0.154199
992;984064;0.154674
1000;1000000;0.161628
1008;1016064;0.175493
1016;1032256;0.157923
