lado;celdas;tiempo
8;64;0.074995
16;256;0.088763
24;576;0.074260
32;1024;0.073981
40;1600;0.074594
48;2304;0.074151
56;3136;0.075387
64;4096;0.074844
72;5184;0.091888
80;6400;0.075152
88;7744;0.075154
96;9216;0.076703
104;10816;0.076244
112;12544;0.075735
120;14400;0.075575
128;16384;0.076308
136;18496;0.076515
144;20736;0.076863
152;23104;0.078034
160;25600;0.077045
168;28224;0.076666
176;30976;0.077342
184;33856;0.076798
192;36864;0.077664
200;40000;0.078659
208;43264;0.078946
216;46656;0.078373
224;50176;0.078539
232;53824;0.078654
240;57600;0.079041
248;61504;0.079452
256;65536;0.079734
264;69696;0.080160
272;73984;0.081671
280;78400;0.080607
288;82944;0.079676
296;87616;0.083216
304;92416;0.082180
312;97344;0.082778
320;102400;0.081916
328;107584;0.085080
336;112896;0.083369
344;118336;0.083954
352;123904;0.084274
360;129600;0.085875
368;135424;0.086295
376;141376;0.087058
384;147456;0.088538
392;153664;0.086985
400;160000;0.087809
408;166464;0.088899
416;173056;0.089194
424;179776;0.089368
432;186624;0.089973
440;193600;0.092492
448;200704;0.091910
456;207936;0.091641
464;215296;0.092522
472;222784;0.093498
480;230400;0.093982
488;238144;0.095057
496;246016;0.095213
504;254016;0.096394
512;262144;0.096658
520;270400;0.096689
528;278784;0.098287
536;287296;0.098937
544;295936;0.099184
552;304704;0.099158
560;313600;0.102415
568;322624;0.100995
576;331776;0.102223
584;341056;0.103194
592;350464;0.103270
600;360000;0.104017
608;369664;0.105505
616;379456;0.105898
624;389376;0.106031
632;399424;0.109003
640;409600;0.108625
648;419904;0.109788
656;430336;0.110802
664;440896;0.111039
672;451584;0.111764
680;462400;0.112673
688;473344;0.114223
696;484416;0.113800
704;495616;0.115422
712;506944;0.115593
720;518400;0.119488
728;529984;0.117636
736;541696;0.118361
744;553536;0.119909
752;565504;0.121259
760;577600;0.123299
768;589824;0.123418
776;602176;0.124652
784;614656;0.124559
792;627264;0.125508
800;640000;0.128017
808;652864;0.127095
816;665856;0.128714
824;678976;0.129315
832;692224;0.129926
840;705600;0.133584
848;719104;0.133265
856;732736;0.134632
864;746496;0.134989
872;760384;0.138122
880;774400;0.137665
888;788544;0.139130
896;802816;0.140585
904;817216;0.141118
912;831744;0.143949
920;846400;0.142467
928;861184;0.145173
936;876096;0.146227
944;891136;0.148387
952;906304;0.149696
960;921600;0.149756
968;937024;0.151161
976;952576;0.152686
984;968256;0.153266
992;984064;0.154838
1000;1000000;0.155360
1008;1016064;0.162663
1016;1032256;0.160166
