lado;celdas;tiempo
8;64;0.080025
16;256;0.080334
24;576;0.078336
32;1024;0.084880
40;1600;0.084511
48;2304;0.084918
56;3136;0.085920
64;4096;0.086980
72;5184;0.089032
80;6400;0.086065
88;7744;0.091374
96;9216;0.095965
104;10816;0.095857
112;12544;0.085207
120;14400;0.091653
128;16384;0.086119
136;18496;0.081284
144;20736;0.082330
152;23104;0.082466
160;25600;0.082290
168;28224;0.081049
176;30976;0.084071
184;33856;0.082894
192;36864;0.083173
200;40000;0.082219
208;43264;0.081686
216;46656;0.084893
224;50176;0.082259
232;53824;0.083828
240;57600;0.085505
248;61504;0.084228
256;65536;0.084571
264;69696;0.083267
272;73984;0.086280
280;78400;0.086318
288;82944;0.087717
296;87616;0.088074
304;92416;0.088202
312;97344;0.088511
320;102400;0.088127
328;107584;0.088190
336;112896;0.091044
344;118336;0.091559
352;123904;0.089478
360;129600;0.089782
368;135424;0.091028
376;141376;0.091920
384;147456;0.092061
392;153664;0.092463
400;160000;0.093893
408;166464;0.093159
416;173056;0.092650
424;179776;0.094149
432;186624;0.094608
440;193600;0.095631
448;200704;0.097669
456;207936;0.097457
464;215296;0.097337
472;222784;0.098459
480;230400;0.099737
488;238144;0.099581
496;246016;0.104997
504;254016;0.098973
512;262144;0.101478
520;270400;0.100985
528;278784;0.102127
536;287296;0.102914
544;295936;0.105292
552;304704;0.103261
560;313600;0.107081
568;322624;0.105047
576;331776;0.105434
584;341056;0.107437
592;350464;0.109357
600;360000;0.109934
608;369664;0.110075
616;379456;0.110910
624;389376;0.110893
632;399424;0.113884
640;409600;0.115212
648;419904;0.112063
656;430336;0.114622
664;440896;0.115441
672;451584;0.116050
680;462400;0.118924
688;473344;0.118712
696;484416;0.119530
704;495616;0.120822
712;506944;0.122107
720;518400;0.124002
728;529984;0.122302
736;541696;0.124361
744;553536;0.124113
752;565504;0.129345
760;577600;0.128205
768;589824;0.129596
776;602176;0.129579
784;614656;0.130818
792;627264;0.133058
800;640000;0.132871
808;652864;0.133515
816;665856;0.134922
824;678976;0.136099
832;692224;0.137712
840;705600;0.137775
848;719104;0.139197
856;732736;0.139748
864;746496;0.143974
872;760384;0.142399
880;774400;0.143370
888;788544;0.147122
896;802816;0.147129
904;817216;0.146796
912;831744;0.148275
920;846400;0.151573
928;861184;0.154073
936;876096;0.154239
944;891136;0.154385
952;906304;0.156072
960;921600;0.158192
968;937024;0.157792
976;952576;0.160695
984;968256;0.160858
992;984064;0.163639
1000;1000000;0.162707
1008;1016064;0.164891
1016;1032256;0.169383
