lado;celdas;tiempo
8;64;0.000304
16;256;0.001130
24;576;0.002619
32;1024;0.004597
40;1600;0.007293
48;2304;0.010120
56;3136;0.014073
64;4096;0.018500
72;5184;0.022874
80;6400;0.028638
88;7744;0.034405
96;9216;0.041147
104;10816;0.048250
112;12544;0.055021
120;14400;0.063789
128;16384;0.073704
136;18496;0.084823
144;20736;0.093376
152;23104;0.104256
160;25600;0.116188
168;28224;0.126835
176;30976;0.137520
184;33856;0.150101
192;36864;0.165047
200;40000;0.177688
208;43264;0.192848
216;46656;0.206680
224;50176;0.222209
232;53824;0.240788
240;57600;0.255545
248;61504;0.273136
256;65536;0.295387
264;69696;0.315629
272;73984;0.331732
280;78400;0.348288
288;82944;0.369420
296;87616;0.389708
304;92416;0.412144
312;97344;0.433075
320;102400;0.456013
328;107584;0.482301
336;112896;0.505477
344;118336;0.526350
352;123904;0.554662
360;129600;0.584874
368;135424;0.607867
376;141376;0.635140
384;147456;0.661150
392;153664;0.686267
400;160000;0.707776
408;166464;0.743836
416;173056;0.779337
424;179776;0.804587
432;186624;0.824127
440;193600;0.861162
448;200704;0.898128
456;207936;0.938995
464;215296;0.964107
472;222784;1.002339
480;230400;1.024351
488;238144;1.062911
496;246016;1.097723
504;254016;1.140018
512;262144;1.168389
520;270400;1.200430
528;278784;1.250357
536;287296;1.276420
544;295936;1.315173
552;304704;1.357744
560;313600;1.406394
568;322624;1.457288
576;331776;1.479549
584;341056;1.525017
592;350464;1.561475
600;360000;1.609990
608;369664;1.653276
616;379456;1.688218
624;389376;1.726135
632;399424;1.779930
640;409600;1.829441
648;419904;1.874593
656;430336;1.911911
664;440896;1.977596
672;451584;2.029381
680;462400;2.044910
688;473344;2.107748
696;484416;2.153040
704;495616;2.204217
712;506944;2.279601
720;518400;2.324375
728;529984;2.356985
736;541696;2.419605
744;553536;2.471257
752;565504;2.524745
760;577600;2.563181
768;589824;2.633954
776;602176;2.683203
784;614656;2.748845
792;627264;2.805311
800;640000;2.858597
808;652864;2.917377
816;665856;2.969295
824;678976;3.030137
832;692224;3.096550
840;705600;3.159866
848;719104;3.220711
856;732736;3.271774
864;746496;3.342949
872;760384;3.402389
880;774400;3.466182
888;788544;3.511647
896;802816;3.567133
904;817216;3.640210
912;831744;3.708318
920;846400;3.782746
928;861184;3.840713
936;876096;3.908006
944;891136;3.982996
952;906304;4.050819
960;921600;4.105381
968;937024;4.171460
976;952576;4.236764
984;968256;4.313384
992;984064;4.387684
1000;1000000;4.470506
1008;1016064;4.519429
1016;1032256;4.614228
